date_begin,date_end,Name,Constituency,Local Party,Group,Parliament
7/14/09,7/14/14,Elisabetta Gardini,North-East,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Roberto Gualtieri,Central,Parti démocrate,Party of European Socialists ,
7/14/09,7/14/14,Salvatore Iacolino,Islands,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Vincenzo Iovine,Southern,Italie des valeurs,Alliance of Liberals and Democrats for Europe,
7/14/09,7/14/14,Giovanni La Via,Islands,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Clemente Mastella,Southern,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Barbara Matera,Southern,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Mario Mauro,North-West,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Erminia Mazzoni,Southern,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Guido Milana,Central,Parti démocrate,Party of European Socialists ,
7/14/09,7/14/14,Ciriaco De Mita,Southern,Union de Central,European People's Party,
7/14/09,7/14/14,Claudio Morganti,Central,Ligue du Nord,Europe of Freedom and Democracy,
7/14/09,7/14/14,Tiziano Motti,North-East,Union de Central,European People's Party,
7/14/09,7/14/14,Cristiana Muscardini,North-West,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Alfredo Pallone,Central,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Antonio Panzeri,North-West,Parti démocrate,Party of European Socialists ,
7/14/09,7/14/14,Aldo Patriciello,Southern,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Mario Pirillo,Southern,Parti démocrate,Party of European Socialists ,
7/14/09,7/14/14,Gianni Pittella,Southern,Parti démocrate,Party of European Socialists ,
7/14/09,7/14/14,Vittorio Prodi,North-East,Parti démocrate,Party of European Socialists ,
7/14/09,7/14/14,Fiorello Provera,North-West,Ligue du Nord,Europe of Freedom and Democracy,
7/14/09,7/14/14,Niccolò Rinaldi,Central,Italie des valeurs,Alliance of Liberals and Democrats for Europe,
7/14/09,7/14/14,Crescenzio Rivellini,Southern,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Licia Ronzulli,North-West,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Oreste Rossi,North-West,ex Ligue du Nord,Europe of Freedom and Democracy,
7/14/09,7/14/14,Potito Salatto,Central,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Matteo Salvini,North-West,Ligue du Nord,Europe of Freedom and Democracy,
7/14/09,7/14/14,Amalia Sartori,North-East,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,David Sassoli,Central,Parti démocrate,Party of European Socialists ,
7/14/09,7/14/14,Giancarlo Scottà,North-East,Ligue du Nord,Europe of Freedom and Democracy,
7/14/09,7/14/14,Marco Scurria,Central,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Debora Serracchiani,North-East,Parti démocrate,Party of European Socialists ,
7/14/09,7/14/14,Sergio Silvestris,Southern,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Francesco Speroni,North-West,Ligue du Nord,Europe of Freedom and Democracy,
7/14/09,7/14/14,Gianluca Susta,North-West,Parti démocrate,Party of European Socialists ,
7/14/09,7/14/14,Salvatore Tatarella,Southern,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Patrizia Toia,North-West,Parti démocrate,Party of European Socialists ,
7/14/09,7/14/14,Giommaria Uggias,Islands,Italie des valeurs,Alliance of Liberals and Democrats for Europe,
7/14/09,7/14/14,Gianni Vattimo,North-West,Italie des valeurs,Alliance of Liberals and Democrats for Europe,
7/14/09,7/14/14,Iva Zanicchi,North-West,Le Peuple de la liberté,European People's Party,
7/15/14,7/1/19,Isabella Adinolfi,Southern,Mouvement 5 étoiles,Europe of Freedom and Direct Democracy,
7/15/14,7/1/19,Marco Affronte,North-East,Mouvement 5 étoiles,Europe of Freedom and Direct Democracy,
7/15/14,7/1/19,Laura Agea,Central,Mouvement 5 étoiles,Europe of Freedom and Direct Democracy,
7/15/14,7/1/19,Daniela Aiuto,Southern,Mouvement 5 étoiles,Europe of Freedom and Direct Democracy,
7/15/14,7/1/19,Tiziana Beghin,North-West,Mouvement 5 étoiles,Europe of Freedom and Direct Democracy,
7/15/14,7/1/19,Brando Benifei,North-West,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Goffredo Bettini,Central,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Mara Bizzotto,North-East,Ligue du Nord,Non-Inscrits,
7/15/14,7/1/19,Simona Bonafé,Central,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Mario Borghezio,Central,Ligue du Nord,Non-Inscrits,
7/15/14,7/1/19,David Borrelli,North-East,Mouvement 5 étoiles,Europe of Freedom and Direct Democracy,
7/15/14,7/1/19,Mercedes Bresso,North-West,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Renata Briano,North-West,Parti démocrate,Party of European Socialists ,
7/15/14,7/7/16,Gianluca Buonanno,North-West,Ligue du Nord,Non-Inscrits,
7/7/16,7/1/19,Angelo Ciocca,North-West,Ligue du Nord,Non-Inscrits,
7/15/14,7/1/19,Nicola Caputo,Southern,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Fabio Massimo Castaldo,Central,Mouvement 5 étoiles,Europe of Freedom and Direct Democracy,
7/15/14,7/1/19,Lorenzo Cesa,Southern,Union de Central,European People's Party,
7/15/14,7/1/19,Caterina Chinnici,Islands,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Salvatore Cicu,Islands,Forza Italia,European People's Party,
7/15/14,7/1/19,Alberto Cirio,North-West,Forza Italia,European People's Party,
7/15/14,7/1/19,Sergio Cofferati,North-West,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Lara Comi,North-West,Forza Italia,European People's Party,
7/15/14,7/1/19,Ignazio Corrao,Islands,Mouvement 5 étoiles,Europe of Freedom and Direct Democracy,
7/15/14,7/1/19,Silvia Costa,Central,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Andrea Cozzolino,Southern,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Rosa D'Amato,Southern,Mouvement 5 étoiles,Europe of Freedom and Direct Democracy,
7/15/14,7/1/19,Nicola Danti,Central,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Paolo De Castro,North-East,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Isabella De Monte,North-East,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Herbert Dorfmann,North-East,Südtiroler Volkspartei,European People's Party,
7/15/14,7/1/19,Eleonora Evi,North-West,Mouvement 5 étoiles,Europe of Freedom and Direct Democracy,
7/15/14,7/1/19,Laura Ferrara,Southern,Mouvement 5 étoiles,Europe of Freedom and Direct Democracy,
7/15/14,7/1/19,Raffaele Fitto,Southern,Forza Italia,European People's Party,
7/11/14,4/17/18,Lorenzo Fontana,North-East,Ligue du Nord,Non-Inscrits,
4/17/18,7/1/19,Danilo Oscar Lancini,North-East,Ligue du Nord,Non-Inscrits,
7/15/14,7/1/19,Eleonora Forenza,Southern,L'autre Europe avec Tsipras,European United Left–Nordic Green Left,
7/15/14,7/1/19,Elisabetta Gardini,North-East,Forza Italia,European People's Party,
7/15/14,7/1/19,Enrico Gasbarra,Central,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Elena Gentile,Southern,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Michela Giuffrida,Islands,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Roberto Gualtieri,Central,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Cécile Kyenge,North-East,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Giovanni La Via,Islands,Nouveau Central-droit,European People's Party,
7/15/14,7/1/19,Fulvio Martusciello,Southern,Forza Italia,European People's Party,
7/15/14,7/1/19,Barbara Matera,Southern,Forza Italia,European People's Party,
7/15/14,7/1/19,Giulia Moi,Islands,Mouvement 5 étoiles,Europe of Freedom and Direct Democracy,
7/15/14,2/8/15,Alessandra Moretti,North-East,Parti démocrate,Party of European Socialists ,
2/8/15,7/1/19,Damiano Zoffoli,North-East,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Luigi Morgano,North-West,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Alessia Mosca,North-West,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Curzio Maltese,North-West,L'autre Europe avec Tsipras,European United Left–Nordic Green Left,
7/15/14,7/1/19,Alessandra Mussolini,Central,Forza Italia,European People's Party,
7/15/14,7/1/19,Antonio Panzeri,North-West,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Massimo Paolucci,Southern,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Aldo Patriciello,Southern,Forza Italia,European People's Party,
7/15/14,7/1/19,Piernicola Pedicini,Southern,Mouvement 5 étoiles,Europe of Freedom and Direct Democracy,
7/15/14,7/1/19,Pina Picierno,Southern,Parti démocrate,Party of European Socialists ,
7/15/14,4/17/18,Gianni Pittella,Southern,Parti démocrate,Party of European Socialists ,
4/17/18,7/1/19,GiuseEuropean People's Party Ferrandino,Southern,Parti démocrate,Party of European Socialists ,
7/15/14,4/17/18,Salvo Pogliese,Islands,Forza Italia,European People's Party,
4/17/18,7/19/18,Gianfranco Micciché,Islands,Forza Italia,European People's Party,
7/19/18,7/1/19,Innocenzo Leontini,Islands,Forza Italia,European People's Party,
7/15/14,7/1/19,Massimiliano Salini,North-West,Nouveau Central-droit,European People's Party,
7/15/14,4/17/18,Matteo Salvini,North-West,Ligue du Nord,Non-Inscrits,
4/17/18,7/1/19,Giancarlo Scottà,North-West,Ligue du Nord,Non-Inscrits,
7/15/14,7/1/19,David Sassoli,Central,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Elly Schlein,North-East,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Remo Sernagiotto,North-East,Forza Italia,European People's Party,
7/15/14,7/1/19,Renato Soru,Islands,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Barbara Spinelli,Central,L'autre Europe avec Tsipras,European United Left–Nordic Green Left,
7/15/14,7/1/19,Antonio Tajani,Central,Forza Italia,European People's Party,
7/15/14,7/1/19,Dario Tamburrano,Central,Mouvement 5 étoiles,Europe of Freedom and Direct Democracy,
7/15/14,7/1/19,Patrizia Toia,North-West,Parti démocrate,Party of European Socialists ,
7/15/14,7/13/15,Giovanni Toti,North-West,Forza Italia,European People's Party,
7/13/15,7/1/19,Stefano Maullu,North-West,Forza Italia,European People's Party,
7/15/14,7/1/19,Marco Valli,North-West,Mouvement 5 étoiles,Europe of Freedom and Direct Democracy,
7/15/14,7/1/19,Daniele Viotti,North-West,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Marco Zanni,North-West,Mouvement 5 étoiles,Europe of Freedom and Direct Democracy,
7/15/14,7/1/19,Flavio Zanonato,North-East,Parti démocrate,Party of European Socialists ,
7/15/14,7/1/19,Marco Zullo,North-East,Mouvement 5 étoiles,Europe of Freedom and Direct Democracy,
